rank,id,name,category,klass,evidenceType,evi,hum,imp,safe,overall,tier,mechanism,evidence,effect,human,safety,dose,status,accessibility,caveats,hallmarks,keyStudies,sources
98,gotu-kola-centella,Gotu Kola (Centella Asiatica),botanical,Triterpenoid-saponin herb,human-rct-surrogate,46,46,28,76,48,C,Stimulates collagen synthesis/wound healing; antioxidant; possible neurotrophic effects,"Strongest human data are for wound healing and venous insufficiency; for cognition the human evidence is weak (a meta-analysis failed to show benefit), with most neuroprotective signals from aged-mouse studies. No human longevity data.",Meaningful wound-healing/venous benefit; cognition unproven in humans,RCTs support wound/venous outcomes; cognitive/longevity benefit not established,Generally well tolerated; rare hepatotoxicity/dermatitis,60-120 mg/day triterpene fraction,Supplement / topical,otc,Cognitive/anti-aging claims rest largely on animal data,Altered intercellular communication; Chronic inflammation; Stem cell exhaustion,"Wound-healing review 2024 — Accelerates wound closure (diabetic ulcers/burns) [https://doi.org/10.3390/pharmaceutics16101252] | Cognition meta-analysis, Sci Rep 2017 — No clear cognitive benefit in humans [https://www.nature.com/articles/s41598-017-09823-9]",https://doi.org/10.3390/pharmaceutics16101252 | https://www.nature.com/articles/s41598-017-09823-9
99,hbot,Hyperbaric Oxygen Therapy,therapy,Hyperoxic-hypoxic conditioning,human-rct-surrogate,44,45,50,55,48,C,"Intermittent 100% O2 at pressure creates a hyperoxic-hypoxic paradox triggering HIF, angiogenesis and claimed senolysis/telomere effects","The Hachmo 2020 trial reported 60 HBOT sessions increased immune-cell telomere length >20% and reduced senescent T-cells, with related Tel Aviv trials reporting cognitive/biological-age changes. These are small (n=35), single-center, uncontrolled surrogate studies; HBOT is approved only for specific indications.","Telomere length +20-38% and senescent-cell reduction (surrogate, single-arm)","Small trials show biomarker changes; no RCT, no hard outcomes","Barotrauma, oxygen-toxicity seizures, reversible myopia; clinic-supervised","~60 daily sessions, ~90 min at ~2 ATA",FDA-approved for specific indications; anti-aging off-label,clinic-only,Telomere/senescence findings from one small uncontrolled study; needs RCT replication,Telomere attrition; Cellular senescence; Stem cell exhaustion,"Hachmo et al., Aging 2020 (n=35) — B-cell telomeres +37.6%, senescent T-helpers -37.3% [https://www.aging-us.com/article/202188/text]",https://www.aging-us.com/article/202188/text
100,cordyceps,Cordyceps,botanical,Medicinal fungus (cordycepin),human-rct-surrogate,42,44,32,74,47,C,Proposed improved oxygen utilization and mitochondrial ATP; cordycepin may activate AMPK,"Small RCTs suggest modest aerobic/exercise benefits (raised VO2max, time-to-exhaustion), often with multi-ingredient blends and short follow-up. Performance surrogates only; no longevity data.",Modest VO2max/endurance improvements with chronic dosing,A few small (often multi-ingredient) RCTs; no longevity data,Generally well tolerated; contamination risk in wild product,~1-3 g/day,Supplement / traditional medicine,otc,Most positive trials used multi-ingredient blends; species/quality vary,Mitochondrial dysfunction; Deregulated nutrient sensing; Chronic inflammation,Ergogenic review 2024 (5 trials) — Mushroom-blend VO2max +4.8 mL/kg/min after 3 weeks [https://pmc.ncbi.nlm.nih.gov/articles/PMC12986667/],https://pmc.ncbi.nlm.nih.gov/articles/PMC12986667/
101,reishi-ganoderma,Reishi (Ganoderma Lucidum),botanical,Medicinal mushroom (beta-glucans),human-rct-surrogate,42,44,30,72,46,C,Immunomodulation via beta-glucans (dectin-1/TLR-2); triterpene anti-inflammatory effects,"A Cochrane review concluded reishi should not be first-line cancer treatment but may have an adjunct immune role; a healthy-volunteer RCT showed increased T-cell subsets and NK activity. Limited, immune-surrogate data, often low-quality; no survival/longevity data.",Measurable immune-marker shifts; clinical benefit unproven,Limited RCTs on immune surrogates; no longevity data,Generally well tolerated; antiplatelet interaction; rare hepatotoxicity,~1.5-6 g/day extract,Supplement / traditional medicine,otc,Product quality highly inconsistent; evidence base small/low-quality,Chronic inflammation; Altered intercellular communication; Cellular senescence,"Jin et al., Cochrane 2016 — Insufficient for first-line cancer use; possible immune adjunct [https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007731.pub3/full]",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007731.pub3/full
102,ghk-cu,GHK-Cu,hormone,Copper-binding tripeptide,human-rct-surrogate,48,48,28,60,46,C,"Plasma tripeptide (age-declining) that modulates wound-healing, antioxidant and tissue-remodeling genes","A naturally occurring human-plasma tripeptide that stimulates collagen and skin repair. Credible human evidence is dermatologic/topical (improved post-laser healing, skin appearance); no human data support injectable/systemic GHK-Cu for lifespan, and copper dosing carries toxicity concerns.",Real topical skin/wound-healing benefits; no systemic longevity evidence,Human evidence limited to topical/dermatologic use,Topical generally tolerated; systemic/injectable risks copper accumulation; gray-market purity unverified,Topical ~1-2 mg/mL (skincare),OTC cosmetic ingredient; injectable unapproved,otc,Genuine topical benefits do not translate to systemic anti-aging evidence; injectable use experimental,Altered intercellular communication; Chronic inflammation; Stem cell exhaustion,"Pickart & Margolina, IJMS 2018 — Shifts gene expression toward tissue repair/antioxidant programs [https://doi.org/10.3390/ijms19071987]",https://doi.org/10.3390/ijms19071987
103,astragalus-cycloastragenol-ta65,Astragalus / Cycloastragenol / TA-65,botanical,Triterpenoid saponin,human-rct-surrogate,44,42,35,60,45,C,Claimed transient telomerase (TERT) activation to slow telomere attrition,"The canonical 'plausible mechanism vs commercial hype' case: small sponsor-linked RCTs report telomere lengthening and fewer senescent T cells, but telomere length is a contested surrogate, products are costly, and telomerase reactivation carries a theoretical oncogenic concern.",Measurable telomere lengthening of uncertain clinical meaning,Small (often sponsor-linked) RCTs on surrogates; no hard outcomes,"No serious AEs in <=12-mo trials, but long-term cancer risk theoretically plausible",TA-65 250-1000 'units'/day,Costly proprietary supplement,otc,"Surrogate-only endpoints, small sponsor trials, high cost, theoretical oncogenic risk",Telomere attrition; Cellular senescence; Chronic inflammation,"Salvador et al., Rejuv Res 2016 (n=117) — TA-65 increased telomere length vs placebo loss [https://pubmed.ncbi.nlm.nih.gov/26950204/]",https://pubmed.ncbi.nlm.nih.gov/26950204/
104,low-dose-lithium,Low-dose Lithium,pharma,GSK-3b inhibitor / trace element,animal-other,42,35,45,60,44,C,"Inhibits GSK-3b, enhances autophagy and neurotrophic signaling; trace lithium may be a micronutrient","A patchwork: trace lithium in drinking water inversely correlates with mortality in a large Japanese cohort, it extends lifespan in worms/flies, and a major 2025 Nature study showed brain lithium depletion in Alzheimer's with lithium orotate reversing pathology in mice. Human longevity data are ecological only.",Worm/fly lifespan extension; human ecological mortality association,Ecological/observational only; no longevity RCT,Therapeutic doses risk thyroid/kidney toxicity (narrow window); microdose/orotate appear safer but unproven,~1-5 mg elemental/day (microdose interest),FDA-approved (bipolar); orotate OTC; experimental,otc,Human longevity evidence ecological/confounded; 2025 Alzheimer's findings preclinical,Disabled macroautophagy; Loss of proteostasis; Chronic inflammation,"Zarse et al., Eur J Nutr 2011 — Higher tap-water lithium associated with lower mortality; extends worm lifespan [https://doi.org/10.1007/s00394-011-0171-x] | Aron et al., Nature 2025 — Lithium depleted in Alzheimer's brains; lithium orotate reversed pathology in mice [https://doi.org/10.1038/s41586-025-09335-x]",https://doi.org/10.1007/s00394-011-0171-x | https://doi.org/10.1038/s41586-025-09335-x
105,thymus-regeneration,Thymus Regeneration (TRIIM),frontier,Immune rejuvenation,human-other,40,38,55,45,44,C,Growth hormone (with metformin/DHEA) regrows thymic tissue to restore naive T-cell output,"The TRIIM pilot (n=9 men) reported thymic regeneration on MRI and ~1.5-2.5 year epigenetic age reversal — but it was very small, uncontrolled and used a confounded multi-drug regimen with GH's known risks. The expanded TRIIM-X trial is ongoing.","~1.5-2.5y epigenetic age reduction (tiny, uncontrolled pilot)",One small uncontrolled pilot; TRIIM-X ongoing,"GH risks: insulin resistance, oedema, carpal tunnel, theoretical cancer risk","GH + DHEA + metformin, ~1 year",Experimental,experimental,"n=9, no control, multi-drug confound; needs controlled replication",Stem cell exhaustion; Epigenetic alterations; Chronic inflammation,"Fahy et al., Aging Cell 2019 (TRIIM) — n=9: thymic regrowth, ~2.5y epigenetic age reversal (uncontrolled) [https://onlinelibrary.wiley.com/doi/10.1111/acel.13028]",https://onlinelibrary.wiley.com/doi/10.1111/acel.13028
106,growth-hormone,Growth Hormone (HGH),hormone,GH-IGF-1 axis agonist,human-rct-surrogate,60,55,15,38,44,C,"Activates GH receptor and raises IGF-1; anabolic but drives pro-growth, pro-aging nutrient-sensing signaling","A cautionary tale: GH raises lean mass (Rudman 1990) but later RCTs found high rates of oedema, arthralgia, carpal tunnel and insulin resistance with NO functional benefit. The longevity literature points the OTHER way — low IGF-1 predicts human longevity, and GH excess (acromegaly) shortens lifespan. Supraphysiologic GH for anti-aging is biologically backwards.",Surrogate body-composition change with harms; mechanistically pro-aging,RCTs show surrogate change with harms; observational data favor LOW GH/IGF-1,"Oedema, arthralgia, carpal tunnel, insulin resistance/diabetes; cancer concern; illegal for anti-aging in US",Not endorsed; approved only for GH deficiency,FDA-approved (GH deficiency); anti-aging use illegal in US,rx,"One of the clearest cautionary tales: surrogate gains, real harms, mechanism opposing longevity",Deregulated nutrient sensing; Stem cell exhaustion; Genomic instability,"Rudman et al., NEJM 1990 — +8.8% lean mass but later shown lacking functional benefit, with harms [https://doi.org/10.1056/NEJM199007053230101] | Milman et al., Aging Cell 2014 — Low IGF-1 predicts longer survival [https://pubmed.ncbi.nlm.nih.gov/24618355/]",https://doi.org/10.1056/NEJM199007053230101 | https://pubmed.ncbi.nlm.nih.gov/24618355/
107,17-alpha-estradiol,17a-Estradiol,pharma,Non-feminizing estrogen,animal-itp,60,12,55,50,43,D,Non-feminizing estrogen improving insulin sensitivity and reducing hypothalamic inflammation; effect depends on testicular hormones,"A reproducible male-specific ITP geroprotector that extends male (not female) mouse lifespan even when started in mid-late life, via improved metabolic health. No human trials at all.",+19% male median lifespan (mice; ITP site range ~9-26%),No human longevity data,Largely non-feminizing but reduces male fertility signaling in mice; human systemic safety unknown,No human protocol,Not FDA-approved (systemic); experimental,experimental,"Male-only, mechanism tied to male hormones; no human data; not the same as conventional 17b-estradiol",Deregulated nutrient sensing; Chronic inflammation; Altered intercellular communication,"Strong et al., Aging Cell 2016 (ITP) — +19% male median lifespan (across-site range ~9-26%); no female effect [https://doi.org/10.1111/acel.12496] | Garratt et al., Aging Cell 2018 — Benefit abolished by castration — depends on male hormones [https://doi.org/10.1111/acel.12786]",https://doi.org/10.1111/acel.12496 | https://doi.org/10.1111/acel.12786
108,pterostilbene,Pterostilbene,botanical,Dimethylated stilbenoid,human-rct-surrogate,40,40,30,65,43,D,Better-absorbed resveratrol analog; proposed AMPK/SIRT and antioxidant signaling,"Pharmacokinetically superior to resveratrol, but human RCT data are thin and the key clinical finding is a SAFETY concern: monotherapy raised LDL cholesterol (~17 mg/dL), prompting a major supplier to halt orders.",Modest BP reduction; clinically meaningful LDL increase,Few RCTs; main robust finding is an adverse LDL signal,Raises LDL cholesterol; long-term CV implications unclear,50-250 mg/day,OTC supplement,otc,LDL-raising effect is the standout caveat; longevity benefit unproven,Deregulated nutrient sensing; Chronic inflammation; Mitochondrial dysfunction,"Riche et al., 2014 RCT — Lowered BP but raised LDL ~17 mg/dL [https://pubmed.ncbi.nlm.nih.gov/25057276/]",https://pubmed.ncbi.nlm.nih.gov/25057276/
109,partial-reprogramming-osk,Partial Cellular Reprogramming,frontier,Epigenetic reprogramming gene therapy,animal-other,38,12,92,28,41,D,Transient expression of reprogramming factors (OSK) resets the epigenetic age of cells without erasing identity,"The most exciting frontier idea: in mice, partial reprogramming restored vision after optic-nerve injury and AAV-delivered OSK extended remaining lifespan ~109% in very old mice. Human work just began — Life Biosciences' ER-100 (eye) dosed its first patient in June 2026 — so systemic-aging benefit is unproven and cancer risk is the central concern.",Mouse: large lifespan/function effects; no human efficacy data,"First human dosing (eye, Phase 1) 2026; no lifespan/healthspan evidence",Major theoretical risk of teratoma/cancer; only entering human safety testing,Experimental (gene-therapy delivery),Preclinical for systemic aging; first localized human trial 2026,experimental,Spectacular mouse results but human evidence is first-in-human and eye-localized; systemic safety unresolved,Epigenetic alterations; Genomic instability; Stem cell exhaustion,"Lu/Sinclair et al., Nature 2020 — OSK restored vision and reversed epigenetic age in mice [https://www.nature.com/articles/s41586-020-2975-4] | Rejuvenate Bio, Cell Reprogram 2024 — AAV-OSK extended remaining lifespan ~109% in old mice [https://doi.org/10.1089/cell.2023.0072]",https://www.nature.com/articles/s41586-020-2975-4 | https://doi.org/10.1089/cell.2023.0072
110,oxytocin,Oxytocin,hormone,Nonapeptide hormone,animal-other,36,30,45,60,41,D,Hypothalamic hormone that (beyond social roles) supports muscle stem-cell activation and tissue regeneration; declines with age,An established human hormone with a regenerative role: in mice it is required for muscle maintenance and an oxytocin + TGF-b-inhibitor combination extended lifespan in old frail males. Human longevity data are minimal (a small intranasal study raised lean mass); no lifespan RCT.,Muscle-regenerative/anti-frailty effects in mice; small human lean-mass signal,Long clinical-use safety record; anti-aging evidence preliminary/small,Intranasal/low-dose generally tolerated; high-dose IV can cause hyponatraemia,Intranasal ~24 IU (research),Approved (obstetric/lactation); anti-aging off-label,rx,"Intriguing regenerative biology, but anti-aging benefit rests on one small study plus mouse data",Stem cell exhaustion; Altered intercellular communication; Chronic inflammation,"Elabd et al., Nat Commun 2014 — Restored aged muscle stem-cell activation in mice [https://doi.org/10.1038/ncomms5082]",https://doi.org/10.1038/ncomms5082
111,apigenin,Apigenin,nad,Flavone (CD38 inhibitor),animal-other,36,18,35,75,39,D,"Inhibits CD38, the main NAD+-consuming enzyme, indirectly preserving NAD+","A credible natural CD38 inhibitor that raises NAD+ and improves metabolic markers in rodents, but essentially no human trial measures NAD+ change with oral apigenin; the cited 'biological age' drop came from a multi-ingredient protocol. Poor oral bioavailability.",Raises NAD+/metabolic markers in rodents; isolated human effect unquantified,No standalone human NAD+/aging RCT,Generally safe dietary flavone; CYP interactions unclear,~50 mg/day (no evidence-based dose),Supplement,otc,Human NAD+ evidence for isolated apigenin essentially absent; popular on mechanistic grounds,Deregulated nutrient sensing; Mitochondrial dysfunction; Chronic inflammation,"Escande et al., Diabetes 2013 — Potent natural CD38 inhibitor; raised NAD+ in obese mice [https://doi.org/10.2337/db12-1139]",https://doi.org/10.2337/db12-1139
112,thymalin,Thymalin,hormone,Thymic peptide complex,human-other,34,30,45,50,39,D,Proposed to restore thymic/T-cell function and immune homeostasis ('peptide bioregulation'),"Best known from Khavinson's Russian gerontology program reporting a ~2-fold mortality reduction in the elderly — but this is single-institute, open-label, non-blinded and never independently replicated in the West, so the dramatic figures are provocative but unverified.",Reported large mortality reductions in one program; not credible without replication,Single-institute open-label data only; no Western RCT; LOW quality,Reported well tolerated; gray-market product purity unverified,"10 mg IM daily for 5-10 days, repeated",Used in Russia; not FDA-approved,experimental,"Headline mortality reductions rest entirely on unreplicated, non-blinded single-center data",Altered intercellular communication; Chronic inflammation; Stem cell exhaustion,"Khavinson & Morozov, Neuro Endocrinol Lett 2003 — Reported ~2x mortality reduction (open-label, single-center) [https://pubmed.ncbi.nlm.nih.gov/14523363/]",https://pubmed.ncbi.nlm.nih.gov/14523363/
113,pregnenolone,Pregnenolone,hormone,Neurosteroid / steroid precursor,human-rct-surrogate,38,35,25,60,39,D,Upstream precursor to all steroid hormones; neurosteroid modulating NMDA/GABA-A receptors,"The upstream precursor of DHEA and sex steroids; levels decline with age, fueling supplement marketing. A proof-of-concept RCT in schizophrenia (Marx 2009) found pregnenolone reduced negative symptoms with some cognitive correlation, but there is no evidence of cognitive or healthspan benefit in healthy older adults, where controlled trials are scarce.",Memory effects in aged rodents; no demonstrated human cognitive/longevity benefit,"Sparse, largely negative RCTs; no longevity data",Limited safety data; unpredictable conversion to androgens/estrogens/cortisol,5-50 mg/day (supplement),OTC supplement; not approved for any indication,otc,Marketed on animal data/mechanism; human evidence thin and mostly null,Altered intercellular communication,"Marx et al., Neuropsychopharmacology 2009 — Reduced negative symptoms in schizophrenia with cognitive correlation (disease population, not healthy aging) [https://doi.org/10.1038/npp.2009.26]",https://doi.org/10.1038/npp.2009.26
114,procyanidin-c1,Procyanidin C1 (PCC1),senolytic,Proanthocyanidin,animal-other,36,12,55,60,38,D,Suppresses SASP at low dose; senolytic at higher dose via ROS/mitochondrial stress,"A 2021 Nature Metabolism study reported strong single-lab mouse data — fortnightly dosing in very old mice extended remaining median lifespan ~64%. Not yet ITP-validated or tested in humans, and bioavailability of this large polyphenol is uncertain.",Large effect on remaining lifespan in one mouse study; no human data,None,Grape-seed proanthocyanidins generally safe as foods; isolated PCC1 not characterized,No human protocol,Experimental; grape-seed extracts OTC,experimental,"Single-lab mouse result now under a 2026 Editorial Expression of Concern (image-reuse, raw data unavailable); not ITP-validated or human-tested; OTC extracts aren't purified PCC1",Cellular senescence; Altered intercellular communication; Mitochondrial dysfunction,"Xu et al., Nat Metabolism 2021 — Biweekly PCC1 in old mice extended remaining median lifespan ~64% [https://www.nature.com/articles/s42255-021-00491-8]",https://www.nature.com/articles/s42255-021-00491-8
115,nadh,NADH Supplement,nad,Reduced NAD coenzyme (oral),human-rct-surrogate,32,30,28,70,38,D,Supplies reduced NADH to support mitochondrial ATP; oral stability/absorption limited,"Older, small, low-quality RCTs in chronic fatigue and open-label Parkinson's work with weak, inconsistent results; largely outside the modern NAD+ mainstream and of doubtful oral bioavailability.",Weak/inconsistent symptomatic signals; no aging data,"A few small, mostly old, low-quality studies",Well tolerated; mild headache/GI,5-20 mg/day,Supplement,otc,"Dated, low-quality evidence and questionable oral bioavailability",Mitochondrial dysfunction; Deregulated nutrient sensing,"Forsyth et al., 1999 — Small CFS crossover suggested symptomatic benefit (preliminary) [https://pubmed.ncbi.nlm.nih.gov/10071523/]",https://pubmed.ncbi.nlm.nih.gov/10071523/
116,klotho-therapy,Klotho Gene/Protein Therapy,frontier,Longevity-protein/gene therapy,animal-other,38,18,60,40,38,D,Restoring the age-declining longevity protein klotho enhances synaptic plasticity and resilience,"A genuine circulating longevity protein: overexpression extends mouse lifespan, and a 2023 study showed a single low-dose injection improved memory in aged rhesus macaques. Supported by human genetics (KL-VS carriers), but no completed human therapeutic trials; the low-dose-only response complicates translation.",Mouse lifespan + primate cognition; human effect of administration untested,Biomarker/genetic associations; no completed interventional trials,No human safety dataset; affects phosphate/FGF23 axis; non-linear dose-response,Experimental (single low dose in primates),Preclinical; early development,experimental,Strong animal/genetic case but unproven and untested as a human therapy; hormetic dosing adds uncertainty,Altered intercellular communication; Stem cell exhaustion; Chronic inflammation,"Castner et al., Nature Aging 2023 — Single low-dose klotho enhanced memory in aged macaques [https://www.nature.com/articles/s43587-023-00441-x] | Kurosu et al., Science 2005 — Klotho overexpression extends mouse lifespan [https://pubmed.ncbi.nlm.nih.gov/16123266/]",https://www.nature.com/articles/s43587-023-00441-x | https://pubmed.ncbi.nlm.nih.gov/16123266/
117,heterochronic-fmt,Fecal Microbiota Transplant (Heterochronic),frontier,Microbiome transfer therapy,animal-other,34,25,50,50,38,D,Transferring young/healthy gut microbiota aims to reverse age-related dysbiosis and reduce systemic inflammation,"In mice, young-to-aged FMT reverses gut/eye/brain aging hallmarks and improves cognition. Human aging evidence is essentially absent (FMT is approved only for recurrent C. difficile); applying it for longevity is preclinical, with documented infection risks.",Mouse: reversal of gut/brain aging markers; no human aging effect shown,FMT proven for C. difficile only; no controlled aging data,Infection transmission risk (incl. fatal cases); requires rigorous donor screening,Experimental for aging,Approved only for recurrent C. difficile,experimental,Striking mouse rejuvenation but no human aging evidence; real infection risk,Dysbiosis; Chronic inflammation; Altered intercellular communication,"Parker et al., Microbiome 2022 — Young-to-aged FMT reversed gut/brain aging markers in mice [https://doi.org/10.1186/s40168-022-01243-w]",https://doi.org/10.1186/s40168-022-01243-w
118,rilmenidine,Rilmenidine,pharma,I1-imidazoline agonist (antihypertensive),animal-other,38,12,45,60,37,D,"Engages nischarin/I1-imidazoline receptor, mimicking caloric restriction and inducing autophagy",An emerging CR-mimetic that extends lifespan/healthspan in C. elegans (even started late) and produces CR-like transcriptional changes in mouse liver/kidney. No mammalian lifespan study and no human longevity data; it is a well-tolerated antihypertensive.,Lifespan extension in C. elegans; CR-like mouse signatures,No human longevity data,Well tolerated as antihypertensive; longevity-use safety unknown,1 mg/day (antihypertensive),Approved antihypertensive (EU/Asia); experimental,experimental,Evidence is worm lifespan + mouse surrogates only; no mammalian lifespan data,Deregulated nutrient sensing; Disabled macroautophagy; Loss of proteostasis,"Bennett et al., Aging Cell 2023 — Extended worm lifespan via nischarin/autophagy; CR-like mouse transcriptome [https://doi.org/10.1111/acel.13774]",https://doi.org/10.1111/acel.13774
119,humanin,Humanin,hormone,Mitochondrial-derived peptide,human-cohort,38,25,45,45,37,D,"Cytoprotective peptide modulating apoptosis, IGF-1/IGFBP signaling and metabolic stress responses",A longevity-associated biomarker: circulating levels generally decline with age but are higher in centenarians and their offspring. Causal data are preclinical (overexpression extends C. elegans lifespan); no human interventional trials and no evidence that giving humanin extends human healthspan.,Higher endogenous levels associate with longevity; exogenous benefit unproven,Observational/biomarker data only; no interventional trials,No human dosing/safety dataset,No validated human dose,Research compound; not approved,experimental,"Compelling longevity-associated biomarker, but therapeutic value in humans unestablished",Mitochondrial dysfunction; Altered intercellular communication; Deregulated nutrient sensing,"Yen et al., Aging 2020 — Centenarians have higher humanin; overexpression extends worm lifespan [https://www.aging-us.com/article/103534/text]",https://www.aging-us.com/article/103534/text
120,navitoclax,Navitoclax (ABT-263),senolytic,BCL-2/BCL-xL inhibitor,animal-other,44,15,55,32,36,D,BH3-mimetic that triggers apoptosis of senescent cells via BCL-2 family inhibition,"A potent senolytic in mice (rejuvenates aged stem cells, aids wound healing), but development for aging is blocked by on-target toxicity — BCL-xL inhibition kills platelets, causing severe thrombocytopenia. Studied clinically only in oncology.",Strong senolytic in mice; no anti-aging human data,Oncology only; toxicity precludes longevity use,"Dose-limiting thrombocytopenia, neutropenia, bone loss",Oncology dosing only,Investigational oncology agent,experimental,On-target platelet toxicity makes systemic anti-aging use impractical,Cellular senescence; Chronic inflammation; Stem cell exhaustion,"Chang et al., Nat Med 2016 — Selectively killed senescent cells, rejuvenated aged stem cells in mice [https://doi.org/10.1038/nm.4010]",https://doi.org/10.1038/nm.4010
121,young-plasma-transfusion,Young Plasma Transfusion,therapy,Heterochronic blood-factor transfer,animal-other,36,20,50,45,36,D,Infusing young-donor plasma aims to deliver pro-youthful circulating factors (parabiosis-inspired),"Heterochronic parabiosis rejuvenates tissues in mice, but human evidence is weak: the Ambrosia trial was uncontrolled and pay-to-participate, drawing an FDA warning. Many researchers think DILUTION (removing old factors) explains the effect better than adding young factors.",Robust rejuvenation in mice; no demonstrated human healthspan effect,"Minimal, largely uncontrolled; FDA-flagged","Transfusion risks (allergic reactions, TRALI, infection, overload); FDA cautioned against commercial use",No validated protocol,Not approved for aging; FDA warning,experimental,Human benefit unproven and possibly attributable to dilution; commercial offerings unregulated,Altered intercellular communication; Stem cell exhaustion; Chronic inflammation,"Conboy et al., Nature 2005 — Parabiosis rejuvenates aged stem-cell function in mice [https://pubmed.ncbi.nlm.nih.gov/15716955/] | FDA 2019 — Warned against young-plasma anti-aging infusions [https://www.fda.gov/news-events/press-announcements/statement-fda-commissioner-scott-gottlieb-md-and-director-fdas-center-biologics-evaluation-and-0]",https://pubmed.ncbi.nlm.nih.gov/15716955/ | https://www.fda.gov/news-events/press-announcements/statement-fda-commissioner-scott-gottlieb-md-and-director-fdas-center-biologics-evaluation-and-0
122,telomerase-gene-therapy,Telomerase Gene Therapy (TERT),frontier,Telomere-extending gene therapy,animal-other,34,10,70,32,35,D,"AAV delivery of telomerase (TERT) re-extends telomeres, delaying replicative senescence","The Blasco-lab study showed AAV9-Tert in adult/old mice extended median lifespan 24%/13% without increasing cancer. Robust mouse evidence, but no rigorous human trials — human use is limited to unregulated self-experiments. Cancer risk remains the key concern.",Mouse: +13-24% median lifespan; no validated human effect,No controlled human trials; only anecdotal self-experiments,Principal concern is cancer (telomerase reactivation); AAV immunogenicity,Experimental (single systemic AAV),Preclinical; no approved product,experimental,Strong mouse data but zero rigorous human evidence; oncogenic potential unresolved,Telomere attrition; Cellular senescence; Genomic instability,"Bernardes de Jesus et al., EMBO Mol Med 2012 — +24% (1yr) / +13% (2yr) median mouse lifespan, no excess cancer [https://doi.org/10.1002/emmm.201200245]",https://doi.org/10.1002/emmm.201200245
123,mitochondrial-transplantation,Mitochondrial Transplantation,frontier,Organelle transplantation,animal-other,32,22,45,45,35,D,Isolated healthy mitochondria are delivered into damaged tissue to restore bioenergetics,Strong preclinical data show transplanted mitochondria reduce infarct size in ischemia models; limited human use is single-arm autologous transplantation in pediatric cardiac patients. No controlled aging evidence; the aging application is hypothetical.,Animal: reduced infarct size; human: small uncontrolled cardiac use,Small single-arm ischemia use; no aging trials,"Early-stage; immunogenicity, delivery and durability are open questions",Experimental (injected at reperfusion),Early-clinical for ischemia; aging use conceptual,experimental,Human evidence tiny and disease-specific; longevity application speculative,Mitochondrial dysfunction,"McCully et al., review 2021 — Reduced myocardial necrosis; small pediatric cardiac use",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8130169/
124,minocycline,Minocycline,pharma,Tetracycline antibiotic,animal-other,36,12,38,55,34,D,"Attenuates cytoplasmic translation of aggregation-prone proteins, improving proteostasis; anti-inflammatory","A proteostasis-targeting geroprotector that extended C. elegans lifespan and uniquely worked even in OLD worms (where most compounds fail). No mammalian lifespan or human longevity trial, and chronic antibiotic use raises resistance/microbiome concerns.",Lifespan extension in C. elegans (incl. late-life),No human longevity data,"Dizziness, photosensitivity, pigmentation, rare drug-induced lupus; chronic use disrupts microbiome",100-200 mg/day (antibiotic),FDA-approved (antibiotic); experimental,rx,Worm-only lifespan data; antibiotic resistance/microbiome harm limit chronic use,Loss of proteostasis; Chronic inflammation,"Solis et al., eLife 2018 — Extended worm lifespan even started late; of 21 compounds, only minocycline worked in old worms [https://doi.org/10.7554/eLife.40314]",https://doi.org/10.7554/eLife.40314
125,senolytic-vaccine,Senolytic Vaccine,frontier,Immunotherapy vs senescent cells,animal-other,40,8,60,35,34,D,Vaccination against a senescent-cell antigen (GPNMB) directs the immune system to clear senescent cells,"A 2021 study showed an anti-GPNMB vaccine cleared senescent cells, reduced atherosclerotic plaque, and extended lifespan in progeroid mice. Entirely in mice; a human vaccine is in development with autoimmunity as a key theoretical risk.","Mouse: reduced senescence/plaque, extended progeroid lifespan; no human data",No human trials yet,Theoretical autoimmunity (GPNMB not senescence-exclusive); untested in humans,Experimental (peptide vaccine in mice),Preclinical; human development underway,experimental,Entirely preclinical; antigen specificity/autoimmune risk must be resolved,Cellular senescence; Chronic inflammation; Altered intercellular communication,"Suda/Minamino, Nature Aging 2021 — Vaccine reduced senescence/plaque, extended progeroid mouse lifespan [https://www.nature.com/articles/s43587-021-00151-2]",https://www.nature.com/articles/s43587-021-00151-2
126,nk-cell-rejuvenation,NK / Immune Cell Rejuvenation,frontier,Adoptive immune-cell therapy,mechanistic,24,20,50,50,34,D,Expanded/engineered NK cells are infused to eliminate senescent cells and restore immune surveillance,"NK cells naturally clear senescent cells, supporting adoptive NK therapy as 'senotherapy'. Evidence for the aging application is mechanistic/early proof-of-concept; NK therapy is clinically advanced in oncology, but no controlled trials show anti-aging benefit.",Preclinical senescent-cell clearance; no demonstrated human aging effect,Proven in oncology; aging use mechanistic/early only,Oncology NK therapy generally tolerable; aging-specific safety untested,Experimental for aging,Established in cancer; anti-aging preclinical,experimental,No controlled human aging evidence; benefit inferred from senescent-cell biology,Cellular senescence; Altered intercellular communication; Chronic inflammation,Immunity & Ageing 2024 review — Frames adoptive NK therapy as senescent-cell-clearing senotherapy [https://immunityageing.biomedcentral.com/articles/10.1186/s12979-024-00451-2],https://immunityageing.biomedcentral.com/articles/10.1186/s12979-024-00451-2
